iter	Passed	Remaining
416	2159	3018
417	2161	3009
418	2163	3000
419	2166	2991
420	2170	2985
421	2173	2976
422	2175	2967
423	2177	2958
424	2179	2949
425	2183	2942
426	2188	2937
427	2190	2927
428	2193	2919
429	2195	2910
430	2197	2901
431	2199	2891
432	2202	2883
433	2203	2874
434	2206	2865
435	2207	2856
436	2209	2846
437	2211	2837
438	2213	2828
439	2217	2821
440	2219	2813
441	2221	2804
442	2224	2796
443	2226	2788
444	2228	2779
445	2232	2772
446	2235	2765
447	2237	2757
448	2242	2751
449	2244	2743
450	2249	2738
451	2251	2729
452	2253	2721
453	2255	2712
454	2257	2703
455	2259	2695
456	2263	2689
457	2265	2680
458	2267	2672
459	2269	2664
460	2271	2655
461	2273	2647
462	2278	2642
463	2280	2634
464	2282	2626
465	2284	2618
466	2286	2609
467	2288	2601
468	2290	2593
469	2294	2587
470	2296	2579
471	2298	2571
472	2301	2563
473	2303	2556
474	2305	2548
475	2310	2543
476	2312	2535
477	2314	2527
478	2317	2520
479	2319	2512
480	2321	2504
481	2326	2499
482	2328	2492
483	2331	2485
484	2333	2478
485	2336	2470
486	2339	2464
487	2341	2456
488	2343	2449
489	2346	2442
490	2349	2435
491	2350	2427
492	2354	2421
493	2356	2413
494	2358	2405
495	2360	2398
496	2362	2390
497	2364	2383
498	2366	2375
499	2369	2369
500	2372	2362
501	2374	2356
502	2378	2350
503	2381	2343
504	2385	2338
505	2388	2331
506	2390	2324
507	2393	2317
508	2395	2310
509	2397	2303
510	2401	2297
511	2403	2290
512	2405	2283
513	2407	2276
514	2409	2268
515	2411	2261
516	2416	2257
517	2418	2250
518	2420	2243
519	2423	2236
520	2424	2229
521	2426	2222
522	2428	2215
523	2430	2208
524	2432	2201
525	2434	2193
526	2436	2186
527	2438	2180
528	2440	2173
529	2442	2165
530	2445	2160
531	2448	2154
532	2451	2147
533	2453	2140
534	2455	2133
535	2459	2128
536	2461	2122
537	2463	2115
538	2465	2108
539	2467	2101
540	2469	2095
541	2471	2088
542	2474	2082
543	2477	2076
544	2479	2070
545	2481	2063
546	2484	2057
547	2485	2050
548	2489	2045
549	2491	2038
550	2493	2031
551	2495	2025
552	2497	2018
553	2498	2011
554	2500	2005
555	2504	1999
556	2506	1993
557	2508	1986
558	2510	1980
559	2512	1974
560	2514	1967
561	2516	1961
562	2521	1956
563	2523	1950
564	2527	1945
565	2529	1939
566	2531	1933
567	2533	1926
568	2536	1921
569	2539	1915
570	2541	1909
571	2543	1903
572	2545	1896
573	2546	1890
574	2550	1884
575	2553	1879
576	2555	1873
577	2557	1867
578	2559	1861
579	2565	1857
580	2567	1851
581	2570	1846
582	2574	1841
583	2577	1835
584	2580	1830
585	2583	1824
586	2585	1819
587	2594	1817
588	2599	1813
589	2601	1807
590	2604	1802
591	2606	1796
592	2611	1792
593	2613	1786
594	2615	1780
595	2617	1774
596	2620	1768
597	2628	1767
598	2634	1763
599	2636	1757
600	2639	1752
601	2643	1747
602	2645	1741
603	2648	1736
604	2650	1730
605	2653	1724
606	2657	1720
607	2659	1714
608	2662	1709
609	2665	1703
610	2667	1698
611	2677	1697
612	2681	1692
613	2686	1688
614	2688	1683
615	2691	1677
616	2693	1672
617	2697	1667
618	2702	1663
619	2705	1658
620	2709	1653
621	2711	1647
622	2713	1642
623	2718	1638
624	2720	1632
625	2723	1626
626	2726	1621
627	2728	1616
628	2730	1610
629	2736	1606
630	2738	1601
631	2740	1595
632	2743	1590
633	2745	1584
634	2748	1579
635	2751	1574
636	2755	1570
637	2759	1565
638	2762	1560
639	2764	1555
640	2767	1549
641	2769	1544
642	2771	1539
643	2776	1534
644	2778	1529
645	2780	1523
646	2782	1517
647	2783	1512
648	2785	1506
649	2787	1500
650	2791	1496
651	2793	1490
652	2794	1485
653	2797	1480
654	2800	1474
655	2802	1469
656	2811	1467
657	2813	1462
658	2816	1457
659	2823	1454
660	2826	1449
661	2828	1444
662	2833	1440
663	2837	1435
664	2839	1430
665	2841	1425
666	2844	1419
667	2848	1415
668	2850	1410
669	2852	1405
670	2855	1399
671	2857	1394
672	2859	1389
673	2863	1385
674	2865	1379
675	2867	1374
676	2869	1369
677	2871	1363
678	2874	1358
679	2875	1353
680	2880	1349
681	2882	1344
682	2885	1339
683	2887	1334
684	2890	1329
685	2895	1325
686	2898	1320
687	2900	1315
688	2903	1310
689	2905	1305
690	2910	1301
691	2912	1296
692	2915	1291
693	2917	1286
694	2919	1281
695	2921	1276
696	2927	1272
697	2930	1267
698	2933	1263
699	2935	1258
700	2937	1253
701	2942	1249
702	2944	1244
703	2947	1239
704	2949	1234
705	2952	1229
706	2956	1225
707	2960	1220
708	2963	1216
709	2966	1211
710	2974	1209
711	2982	1206
712	2987	1202
713	2989	1197
714	2991	1192
715	2993	1187
716	2995	1182
717	2997	1177
718	3002	1173
719	3004	1168
720	3006	1163
721	3011	1159
722	3013	1154
723	3017	1150
724	3020	1145
725	3022	1140
726	3024	1135
727	3026	1130
728	3028	1125
729	3033	1121
730	3035	1116
731	3037	1112
732	3039	1107
733	3042	1102
734	3044	1097
735	3049	1093
736	3051	1088
737	3053	1083
738	3055	1079
739	3057	1074
740	3059	1069
741	3063	1065
742	3066	1060
743	3068	1055
744	3071	1051
745	3073	1046
746	3075	1041
747	3080	1037
748	3082	1033
749	3085	1028
750	3087	1023
751	3089	1018
752	3091	1014
753	3095	1009
754	3097	1005
755	3099	1000
756	3102	995
757	3104	991
